Df,SumsOfSqs,MeanSqs,F.Model,R2,Pr..F.,BetaMethod,Pid,TestGroup
2,2.47455132049313,1.23727566024657,4.37625087164901,0.0262360697760819,0.001,dice,pid=99,CollectionMonth:Site
6,3.23782389402074,0.539637315670123,1.90870017810347,0.0343285560104144,0.001,dice,pid=99,CollectionMonth:Roost
3,1.67093038904213,0.556976796347377,1.97003001741563,0.017715795956557,0.001,dice,pid=99,Site:Roost
5,2.78318757693489,0.556637515386978,1.9688299787772,0.029508340709554,0.001,dice,pid=99,CollectionMonth:Site:Roost
245,69.2676324212158,0.282725030290677,NA,0.73439997884742,NA,dice,pid=99,Residuals
267,94.3186743141327,NA,NA,1,NA,dice,pid=99,Total
2,7.85783699465705,3.92891849732853,11.1075016306014,0.0699940892251988,0.001,bray,pid=99,CollectionMonth
1,2.66795884970915,2.66795884970915,7.54262459088217,0.023764981368623,0.001,bray,pid=99,Site
3,1.59683967502622,0.532279891675408,1.50481608838184,0.0142239319507545,0.004,bray,pid=99,Roost
2,4.22890943154789,2.11445471577394,5.97780514389941,0.0376692293665944,0.001,bray,pid=99,CollectionMonth:Site
6,4.25969122700282,0.709948537833804,2.00710565693689,0.0379434198008131,0.001,bray,pid=99,CollectionMonth:Roost
3,1.86531275968555,0.621770919895184,1.75781745314704,0.0166153698305408,0.001,bray,pid=99,Site:Roost
5,3.12693991845147,0.625387983690294,1.76804330589239,0.0278533789645608,0.001,bray,pid=99,CollectionMonth:Site:Roost
245,86.6608049098587,0.353717571060648,NA,0.771935599492915,NA,bray,pid=99,Residuals
267,112.264293765939,NA,NA,1,NA,bray,pid=99,Total
2,7.99655336041215,3.99827668020607,11.4967161340655,0.0712128283626456,0.001,morisita,pid=99,CollectionMonth
1,2.89040463791959,2.89040463791959,8.31112108855742,0.0257403258756162,0.001,morisita,pid=99,Site
3,1.47579112586015,0.491930375286717,1.41450538187973,0.0131425697307643,0.03,morisita,pid=99,Roost
2,5.1113421798536,2.5556710899268,7.34862226978548,0.0455187525113826,0.001,morisita,pid=99,CollectionMonth:Site
6,4.5369062968375,0.756151049472917,2.17425022467875,0.0404031480629604,0.001,morisita,pid=99,CollectionMonth:Roost
3,1.71215989261221,0.570719964204069,1.64105837221851,0.015247537666117,0.005,morisita,pid=99,Site:Roost
5,3.36274565432323,0.672549130864646,1.93385977564835,0.0299467305869651,0.001,morisita,pid=99,CollectionMonth:Site:Roost
245,85.205007693278,0.347775541605216,NA,0.758788107203549,NA,morisita,pid=99,Residuals
267,112.290910841096,NA,NA,1,NA,morisita,pid=99,Total
2,10.3130355018452,5.15651775092261,19.0083474948113,0.112945918225881,0.001,dice,pid=98,CollectionMonth
1,2.74275334207066,2.74275334207066,10.1105457475262,0.0300379839312924,0.001,dice,pid=98,Site
3,1.75710451273414,0.585701504244712,2.15905738304212,0.0192433917806341,0.001,dice,pid=98,Roost
2,2.47036862819496,1.23518431409748,4.55323026053855,0.0270548911635151,0.001,dice,pid=98,CollectionMonth:Site
6,3.26773329444604,0.544622215741007,2.00762778880125,0.0357874398272415,0.001,dice,pid=98,CollectionMonth:Roost
3,1.60617140043006,0.535390466810021,1.97359701451881,0.0175904081409653,0.001,dice,pid=98,Site:Roost
5,2.68959537009762,0.537919074019523,1.98291815852292,0.0294558104330584,0.001,dice,pid=98,CollectionMonth:Site:Roost
245,66.4627395580228,0.27127648799193,NA,0.727884156497412,NA,dice,pid=98,Residuals
267,91.3095016078415,NA,NA,1,NA,dice,pid=98,Total
2,8.0655507601006,4.0327753800503,11.5130844470176,0.0722419935732141,0.001,bray,pid=98,CollectionMonth
1,2.76156787054391,2.76156787054391,7.88394123238923,0.0247349715214413,0.001,bray,pid=98,Site
3,1.62175518380342,0.540585061267806,1.54330476523957,0.0145258310375065,0.004,bray,pid=98,Roost
2,4.29774623616923,2.14887311808461,6.13477204726579,0.0384943031427614,0.001,bray,pid=98,CollectionMonth:Site
6,4.14654832352214,0.691091387253691,1.97298206625112,0.0371400448957279,0.001,bray,pid=98,CollectionMonth:Roost
3,1.84645288663575,0.615484295545249,1.75713299220182,0.0165384164748494,0.001,bray,pid=98,Site:Roost
5,3.08866388474465,0.61773277694893,1.76355213381982,0.0276647241023325,0.001,bray,pid=98,CollectionMonth:Site:Roost
245,85.8180075599345,0.350277581877284,NA,0.768659715252167,NA,bray,pid=98,Residuals
267,111.646292705454,NA,NA,1,NA,bray,pid=98,Total
2,8.46862195590466,4.23431097795233,12.3040243165752,0.0756131002314238,0.001,morisita,pid=98,CollectionMonth
1,3.10289130278994,3.10289130278994,9.01635478357798,0.0277045347291106,0.001,morisita,pid=98,Site
3,1.52151934677797,0.507173115592658,1.47373926465434,0.0135850667878448,0.017,morisita,pid=98,Roost
2,5.23773155420045,2.61886577710022,7.60987758600347,0.0467657102956301,0.001,morisita,pid=98,CollectionMonth:Site
6,4.43461079784558,0.73910179964093,2.14767563425496,0.0395949509248145,0.001,morisita,pid=98,CollectionMonth:Roost
3,1.67273367717779,0.557577892392597,1.62020503031191,0.0149352019551109,0.007,morisita,pid=98,Site:Roost
5,3.24691202202973,0.649382404405945,1.8869697894581,0.0289904408819631,0.001,morisita,pid=98,CollectionMonth:Site:Roost
245,84.3143806373001,0.344140329131837,NA,0.752810994194102,NA,morisita,pid=98,Residuals
267,111.999401294026,NA,NA,1,NA,morisita,pid=98,Total
