query,subject,pid,alnlen,mismatch,gapopen,qstart,qend,sstart,send,eval,bitscore,ncbiID,taxa
08f89e78cf92c6f97dd6fb2cf4543a18,KM382114.1,98.883,179,2,0,17,195,1,179,1.06e-83,320,385036,Myotis sodalis
08f89e78cf92c6f97dd6fb2cf4543a18,KM382115.1,98.883,179,2,0,17,195,1,179,1.06e-83,320,385036,Myotis sodalis
08f89e78cf92c6f97dd6fb2cf4543a18,KM382116.1,98.883,179,2,0,17,195,1,179,1.06e-83,320,385036,Myotis sodalis
099e58371fcb91e508fd6cca2061d7be,GU723127.1,99.005,201,2,0,1,201,1,201,6.23e-96,361,59463,Myotis lucifugus
099e58371fcb91e508fd6cca2061d7be,GU723128.1,98.507,201,3,0,1,201,1,201,2.9e-94,355,59463,Myotis lucifugus
099e58371fcb91e508fd6cca2061d7be,GU723129.1,99.005,201,2,0,1,201,1,201,6.23e-96,361,59463,Myotis lucifugus
099e58371fcb91e508fd6cca2061d7be,GU723130.1,98.01,201,4,0,1,201,1,201,1.35e-92,350,59463,Myotis lucifugus
099e58371fcb91e508fd6cca2061d7be,JF498689.1,98.5,200,3,0,2,201,1,200,1.04e-93,353,59463,Myotis lucifugus
099e58371fcb91e508fd6cca2061d7be,KM363987.1,99.459,185,1,0,17,201,1,185,1.05e-88,337,59463,Myotis lucifugus
099e58371fcb91e508fd6cca2061d7be,KM364017.1,99.459,185,1,0,17,201,1,185,1.05e-88,337,59463,Myotis lucifugus
099e58371fcb91e508fd6cca2061d7be,KP273591.1,98.507,201,3,0,1,201,5391,5591,2.9e-94,355,59463,Myotis lucifugus
099e58371fcb91e508fd6cca2061d7be,MF362599.1,99.005,201,2,0,1,201,5370,5570,6.23e-96,361,59463,Myotis lucifugus
099e58371fcb91e508fd6cca2061d7be,MG423465.1,98.5,200,3,0,2,201,1,200,1.04e-93,353,59463,Myotis lucifugus
0f9b9d16fe3d116357d9fb68553da9e1,GU723229.1,100,165,0,0,17,181,1,165,2.96e-79,305,385036,Myotis sodalis
0f9b9d16fe3d116357d9fb68553da9e1,GU723230.1,100,165,0,0,17,181,1,165,2.96e-79,305,385036,Myotis sodalis
0f9b9d16fe3d116357d9fb68553da9e1,KM382104.1,100,165,0,0,17,181,1,165,2.96e-79,305,385036,Myotis sodalis
0f9b9d16fe3d116357d9fb68553da9e1,KM382105.1,100,165,0,0,17,181,1,165,2.96e-79,305,385036,Myotis sodalis
0f9b9d16fe3d116357d9fb68553da9e1,KM382107.1,100,165,0,0,17,181,1,165,2.96e-79,305,385036,Myotis sodalis
0f9b9d16fe3d116357d9fb68553da9e1,KM382109.1,100,165,0,0,17,181,1,165,2.96e-79,305,385036,Myotis sodalis
0f9b9d16fe3d116357d9fb68553da9e1,KM382110.1,100,165,0,0,17,181,1,165,2.96e-79,305,385036,Myotis sodalis
0f9b9d16fe3d116357d9fb68553da9e1,KM382114.1,99.394,165,1,0,17,181,1,165,1.38e-77,300,385036,Myotis sodalis
0f9b9d16fe3d116357d9fb68553da9e1,KM382115.1,99.394,165,1,0,17,181,1,165,1.38e-77,300,385036,Myotis sodalis
0f9b9d16fe3d116357d9fb68553da9e1,KM382116.1,99.394,165,1,0,17,181,1,165,1.38e-77,300,385036,Myotis sodalis
101e4b5eab85cab4581593841bf146d8,GU723127.1,99.005,201,2,0,1,201,1,201,6.23e-96,361,59463,Myotis lucifugus
101e4b5eab85cab4581593841bf146d8,GU723128.1,98.507,201,3,0,1,201,1,201,2.9e-94,355,59463,Myotis lucifugus
101e4b5eab85cab4581593841bf146d8,GU723129.1,99.005,201,2,0,1,201,1,201,6.23e-96,361,59463,Myotis lucifugus
101e4b5eab85cab4581593841bf146d8,GU723130.1,98.01,201,4,0,1,201,1,201,1.35e-92,350,59463,Myotis lucifugus
101e4b5eab85cab4581593841bf146d8,JF498689.1,98.5,200,3,0,2,201,1,200,1.04e-93,353,59463,Myotis lucifugus
101e4b5eab85cab4581593841bf146d8,KM363987.1,99.459,185,1,0,17,201,1,185,1.05e-88,337,59463,Myotis lucifugus
101e4b5eab85cab4581593841bf146d8,KM364017.1,99.459,185,1,0,17,201,1,185,1.05e-88,337,59463,Myotis lucifugus
101e4b5eab85cab4581593841bf146d8,KP273591.1,98.507,201,3,0,1,201,5391,5591,2.9e-94,355,59463,Myotis lucifugus
101e4b5eab85cab4581593841bf146d8,MF362599.1,99.005,201,2,0,1,201,5370,5570,6.23e-96,361,59463,Myotis lucifugus
101e4b5eab85cab4581593841bf146d8,MG423465.1,98.5,200,3,0,2,201,1,200,1.04e-93,353,59463,Myotis lucifugus
12c971f768e93b2a0a47fd4c7e50eb42,GU723231.1,99.441,179,1,0,17,195,1,179,2.27e-85,326,385036,Myotis sodalis
12c971f768e93b2a0a47fd4c7e50eb42,KM382104.1,98.883,179,2,0,17,195,1,179,1.06e-83,320,385036,Myotis sodalis
12c971f768e93b2a0a47fd4c7e50eb42,KM382105.1,98.883,179,2,0,17,195,1,179,1.06e-83,320,385036,Myotis sodalis
12c971f768e93b2a0a47fd4c7e50eb42,KM382106.1,99.441,179,1,0,17,195,1,179,2.27e-85,326,385036,Myotis sodalis
12c971f768e93b2a0a47fd4c7e50eb42,KM382107.1,98.883,179,2,0,17,195,1,179,1.06e-83,320,385036,Myotis sodalis
12c971f768e93b2a0a47fd4c7e50eb42,KM382109.1,98.883,179,2,0,17,195,1,179,1.06e-83,320,385036,Myotis sodalis
12c971f768e93b2a0a47fd4c7e50eb42,KM382110.1,98.883,179,2,0,17,195,1,179,1.06e-83,320,385036,Myotis sodalis
12c971f768e93b2a0a47fd4c7e50eb42,KM382112.1,99.441,179,1,0,17,195,1,179,2.27e-85,326,385036,Myotis sodalis
12c971f768e93b2a0a47fd4c7e50eb42,KM382114.1,99.441,179,1,0,17,195,1,179,2.27e-85,326,385036,Myotis sodalis
12c971f768e93b2a0a47fd4c7e50eb42,KM382115.1,99.441,179,1,0,17,195,1,179,2.27e-85,326,385036,Myotis sodalis
13a3830bc344d25784047947e2e0d01d,GU723229.1,99.441,179,1,0,17,195,1,179,2.27e-85,326,385036,Myotis sodalis
13a3830bc344d25784047947e2e0d01d,GU723230.1,99.441,179,1,0,17,195,1,179,2.27e-85,326,385036,Myotis sodalis
13a3830bc344d25784047947e2e0d01d,KM382104.1,99.441,179,1,0,17,195,1,179,2.27e-85,326,385036,Myotis sodalis
13a3830bc344d25784047947e2e0d01d,KM382105.1,99.441,179,1,0,17,195,1,179,2.27e-85,326,385036,Myotis sodalis
13a3830bc344d25784047947e2e0d01d,KM382107.1,99.441,179,1,0,17,195,1,179,2.27e-85,326,385036,Myotis sodalis
13a3830bc344d25784047947e2e0d01d,KM382109.1,99.441,179,1,0,17,195,1,179,2.27e-85,326,385036,Myotis sodalis
13a3830bc344d25784047947e2e0d01d,KM382110.1,99.441,179,1,0,17,195,1,179,2.27e-85,326,385036,Myotis sodalis
13a3830bc344d25784047947e2e0d01d,KM382114.1,98.883,179,2,0,17,195,1,179,1.06e-83,320,385036,Myotis sodalis
13a3830bc344d25784047947e2e0d01d,KM382115.1,98.883,179,2,0,17,195,1,179,1.06e-83,320,385036,Myotis sodalis
13a3830bc344d25784047947e2e0d01d,KM382116.1,98.883,179,2,0,17,195,1,179,1.06e-83,320,385036,Myotis sodalis
2529944c18abf4ad2c23cef719051e52,GU723229.1,98.883,179,2,0,41,219,1,179,1.06e-83,320,385036,Myotis sodalis
2529944c18abf4ad2c23cef719051e52,GU723230.1,98.883,179,2,0,41,219,1,179,1.06e-83,320,385036,Myotis sodalis
2529944c18abf4ad2c23cef719051e52,KM382104.1,98.883,179,2,0,41,219,1,179,1.06e-83,320,385036,Myotis sodalis
2529944c18abf4ad2c23cef719051e52,KM382105.1,98.883,179,2,0,41,219,1,179,1.06e-83,320,385036,Myotis sodalis
2529944c18abf4ad2c23cef719051e52,KM382107.1,98.883,179,2,0,41,219,1,179,1.06e-83,320,385036,Myotis sodalis
2529944c18abf4ad2c23cef719051e52,KM382109.1,98.883,179,2,0,41,219,1,179,1.06e-83,320,385036,Myotis sodalis
2529944c18abf4ad2c23cef719051e52,KM382110.1,98.883,179,2,0,41,219,1,179,1.06e-83,320,385036,Myotis sodalis
2529944c18abf4ad2c23cef719051e52,KM382114.1,98.324,179,3,0,41,219,1,179,4.92e-82,315,385036,Myotis sodalis
2529944c18abf4ad2c23cef719051e52,KM382115.1,98.324,179,3,0,41,219,1,179,4.92e-82,315,385036,Myotis sodalis
2529944c18abf4ad2c23cef719051e52,KM382116.1,98.324,179,3,0,41,219,1,179,4.92e-82,315,385036,Myotis sodalis
2af477c82a8e59c75605ad8baa07ae8c,GU723127.1,98.507,201,3,0,1,201,1,201,2.9e-94,355,59463,Myotis lucifugus
2af477c82a8e59c75605ad8baa07ae8c,GU723128.1,99.005,201,2,0,1,201,1,201,6.23e-96,361,59463,Myotis lucifugus
2af477c82a8e59c75605ad8baa07ae8c,GU723129.1,98.507,201,3,0,1,201,1,201,2.9e-94,355,59463,Myotis lucifugus
2af477c82a8e59c75605ad8baa07ae8c,GU723130.1,97.512,201,5,0,1,201,1,201,6.27e-91,344,59463,Myotis lucifugus
2af477c82a8e59c75605ad8baa07ae8c,JF498689.1,98,200,4,0,2,201,1,200,4.85e-92,348,59463,Myotis lucifugus
2af477c82a8e59c75605ad8baa07ae8c,KM364009.1,98.919,185,2,0,17,201,1,185,4.88e-87,331,59463,Myotis lucifugus
2af477c82a8e59c75605ad8baa07ae8c,KM364017.1,98.919,185,2,0,17,201,1,185,4.88e-87,331,59463,Myotis lucifugus
2af477c82a8e59c75605ad8baa07ae8c,KP273591.1,98.01,201,4,0,1,201,5391,5591,1.35e-92,350,59463,Myotis lucifugus
2af477c82a8e59c75605ad8baa07ae8c,MF362599.1,98.507,201,3,0,1,201,5370,5570,2.9e-94,355,59463,Myotis lucifugus
2af477c82a8e59c75605ad8baa07ae8c,MG423465.1,99,200,2,0,2,201,1,200,2.24e-95,359,59463,Myotis lucifugus
2bbf4ae8e52445a4e0d094aa8103557a,GU723229.1,98.883,179,2,0,17,195,1,179,1.06e-83,320,385036,Myotis sodalis
2bbf4ae8e52445a4e0d094aa8103557a,GU723230.1,98.883,179,2,0,17,195,1,179,1.06e-83,320,385036,Myotis sodalis
2bbf4ae8e52445a4e0d094aa8103557a,KM382104.1,98.883,179,2,0,17,195,1,179,1.06e-83,320,385036,Myotis sodalis
2bbf4ae8e52445a4e0d094aa8103557a,KM382105.1,98.883,179,2,0,17,195,1,179,1.06e-83,320,385036,Myotis sodalis
2bbf4ae8e52445a4e0d094aa8103557a,KM382107.1,98.883,179,2,0,17,195,1,179,1.06e-83,320,385036,Myotis sodalis
2bbf4ae8e52445a4e0d094aa8103557a,KM382109.1,98.883,179,2,0,17,195,1,179,1.06e-83,320,385036,Myotis sodalis
2bbf4ae8e52445a4e0d094aa8103557a,KM382110.1,98.883,179,2,0,17,195,1,179,1.06e-83,320,385036,Myotis sodalis
2bbf4ae8e52445a4e0d094aa8103557a,KM382114.1,98.324,179,3,0,17,195,1,179,4.92e-82,315,385036,Myotis sodalis
2bbf4ae8e52445a4e0d094aa8103557a,KM382115.1,98.324,179,3,0,17,195,1,179,4.92e-82,315,385036,Myotis sodalis
2bbf4ae8e52445a4e0d094aa8103557a,KM382116.1,98.324,179,3,0,17,195,1,179,4.92e-82,315,385036,Myotis sodalis
325ec1d99295dd5f3969d2b286acebc1,GU723163.1,98.99,198,2,0,1,198,1,198,2.9e-94,355,27670,Nycticeius humeralis
325ec1d99295dd5f3969d2b286acebc1,GU723164.1,98.485,198,3,0,1,198,1,198,1.35e-92,350,27670,Nycticeius humeralis
325ec1d99295dd5f3969d2b286acebc1,GU723246.1,98.901,182,2,0,17,198,1,182,2.27e-85,326,27670,Nycticeius humeralis
325ec1d99295dd5f3969d2b286acebc1,GU723247.1,98.352,182,3,0,17,198,1,182,1.06e-83,320,27670,Nycticeius humeralis
325ec1d99295dd5f3969d2b286acebc1,GU723248.1,97.802,182,4,0,17,198,1,182,4.92e-82,315,27670,Nycticeius humeralis
325ec1d99295dd5f3969d2b286acebc1,KJ642022.1,98.99,198,2,0,1,198,12,209,2.9e-94,355,27670,Nycticeius humeralis
325ec1d99295dd5f3969d2b286acebc1,KJ642023.1,98.99,198,2,0,1,198,12,209,2.9e-94,355,27670,Nycticeius humeralis
325ec1d99295dd5f3969d2b286acebc1,KJ642024.1,98.99,198,2,0,1,198,12,209,2.9e-94,355,27670,Nycticeius humeralis
325ec1d99295dd5f3969d2b286acebc1,KJ642025.1,98.99,198,2,0,1,198,12,209,2.9e-94,355,27670,Nycticeius humeralis
325ec1d99295dd5f3969d2b286acebc1,MH403778.1,87.5,192,24,0,8,199,1440,1631,3.07e-54,222,52099,Desmognathus conanti
412adf2131df49180432db5cd66ab4f7,GU723229.1,98.883,179,2,0,17,195,1,179,1.06e-83,320,385036,Myotis sodalis
412adf2131df49180432db5cd66ab4f7,GU723230.1,98.883,179,2,0,17,195,1,179,1.06e-83,320,385036,Myotis sodalis
412adf2131df49180432db5cd66ab4f7,KM382104.1,98.883,179,2,0,17,195,1,179,1.06e-83,320,385036,Myotis sodalis
412adf2131df49180432db5cd66ab4f7,KM382105.1,98.883,179,2,0,17,195,1,179,1.06e-83,320,385036,Myotis sodalis
412adf2131df49180432db5cd66ab4f7,KM382107.1,98.883,179,2,0,17,195,1,179,1.06e-83,320,385036,Myotis sodalis
412adf2131df49180432db5cd66ab4f7,KM382109.1,98.883,179,2,0,17,195,1,179,1.06e-83,320,385036,Myotis sodalis
412adf2131df49180432db5cd66ab4f7,KM382110.1,98.883,179,2,0,17,195,1,179,1.06e-83,320,385036,Myotis sodalis
412adf2131df49180432db5cd66ab4f7,KM382114.1,98.324,179,3,0,17,195,1,179,4.92e-82,315,385036,Myotis sodalis
412adf2131df49180432db5cd66ab4f7,KM382115.1,98.324,179,3,0,17,195,1,179,4.92e-82,315,385036,Myotis sodalis
412adf2131df49180432db5cd66ab4f7,KM382116.1,98.324,179,3,0,17,195,1,179,4.92e-82,315,385036,Myotis sodalis
414cdc433a260ea81a1df0130f7d054e,GU723231.1,100,165,0,0,17,181,1,165,2.96e-79,305,385036,Myotis sodalis
414cdc433a260ea81a1df0130f7d054e,KM382104.1,99.394,165,1,0,17,181,1,165,1.38e-77,300,385036,Myotis sodalis
414cdc433a260ea81a1df0130f7d054e,KM382105.1,99.394,165,1,0,17,181,1,165,1.38e-77,300,385036,Myotis sodalis
414cdc433a260ea81a1df0130f7d054e,KM382106.1,100,165,0,0,17,181,1,165,2.96e-79,305,385036,Myotis sodalis
414cdc433a260ea81a1df0130f7d054e,KM382107.1,99.394,165,1,0,17,181,1,165,1.38e-77,300,385036,Myotis sodalis
414cdc433a260ea81a1df0130f7d054e,KM382109.1,99.394,165,1,0,17,181,1,165,1.38e-77,300,385036,Myotis sodalis
414cdc433a260ea81a1df0130f7d054e,KM382110.1,99.394,165,1,0,17,181,1,165,1.38e-77,300,385036,Myotis sodalis
414cdc433a260ea81a1df0130f7d054e,KM382112.1,100,165,0,0,17,181,1,165,2.96e-79,305,385036,Myotis sodalis
414cdc433a260ea81a1df0130f7d054e,KM382114.1,100,165,0,0,17,181,1,165,2.96e-79,305,385036,Myotis sodalis
414cdc433a260ea81a1df0130f7d054e,KM382115.1,100,165,0,0,17,181,1,165,2.96e-79,305,385036,Myotis sodalis
5768370515e6514df5854289b8f777d1,GU723229.1,99.441,179,1,0,40,218,1,179,2.27e-85,326,385036,Myotis sodalis
5768370515e6514df5854289b8f777d1,GU723230.1,99.441,179,1,0,40,218,1,179,2.27e-85,326,385036,Myotis sodalis
5768370515e6514df5854289b8f777d1,KM382104.1,99.441,179,1,0,40,218,1,179,2.27e-85,326,385036,Myotis sodalis
5768370515e6514df5854289b8f777d1,KM382105.1,99.441,179,1,0,40,218,1,179,2.27e-85,326,385036,Myotis sodalis
5768370515e6514df5854289b8f777d1,KM382107.1,99.441,179,1,0,40,218,1,179,2.27e-85,326,385036,Myotis sodalis
5768370515e6514df5854289b8f777d1,KM382109.1,99.441,179,1,0,40,218,1,179,2.27e-85,326,385036,Myotis sodalis
5768370515e6514df5854289b8f777d1,KM382110.1,99.441,179,1,0,40,218,1,179,2.27e-85,326,385036,Myotis sodalis
5768370515e6514df5854289b8f777d1,KM382114.1,98.883,179,2,0,40,218,1,179,1.06e-83,320,385036,Myotis sodalis
5768370515e6514df5854289b8f777d1,KM382115.1,98.883,179,2,0,40,218,1,179,1.06e-83,320,385036,Myotis sodalis
5768370515e6514df5854289b8f777d1,KM382116.1,98.883,179,2,0,40,218,1,179,1.06e-83,320,385036,Myotis sodalis
5bbe7d229a2f4e6cbf45da2c7998ba15,GU723229.1,99.441,179,1,0,59,237,1,179,2.27e-85,326,385036,Myotis sodalis
5bbe7d229a2f4e6cbf45da2c7998ba15,GU723230.1,99.441,179,1,0,59,237,1,179,2.27e-85,326,385036,Myotis sodalis
5bbe7d229a2f4e6cbf45da2c7998ba15,KM382104.1,99.441,179,1,0,59,237,1,179,2.27e-85,326,385036,Myotis sodalis
5bbe7d229a2f4e6cbf45da2c7998ba15,KM382105.1,99.441,179,1,0,59,237,1,179,2.27e-85,326,385036,Myotis sodalis
5bbe7d229a2f4e6cbf45da2c7998ba15,KM382107.1,99.441,179,1,0,59,237,1,179,2.27e-85,326,385036,Myotis sodalis
5bbe7d229a2f4e6cbf45da2c7998ba15,KM382109.1,99.441,179,1,0,59,237,1,179,2.27e-85,326,385036,Myotis sodalis
5bbe7d229a2f4e6cbf45da2c7998ba15,KM382110.1,99.441,179,1,0,59,237,1,179,2.27e-85,326,385036,Myotis sodalis
5bbe7d229a2f4e6cbf45da2c7998ba15,KM382114.1,98.883,179,2,0,59,237,1,179,1.06e-83,320,385036,Myotis sodalis
5bbe7d229a2f4e6cbf45da2c7998ba15,KM382115.1,98.883,179,2,0,59,237,1,179,1.06e-83,320,385036,Myotis sodalis
5bbe7d229a2f4e6cbf45da2c7998ba15,KM382116.1,98.883,179,2,0,59,237,1,179,1.06e-83,320,385036,Myotis sodalis
6153406d7a5cbb16eeabbbd9d23443a2,GU723229.1,99.379,161,1,0,39,199,1,161,2.3e-75,292,385036,Myotis sodalis
6153406d7a5cbb16eeabbbd9d23443a2,GU723230.1,99.379,161,1,0,39,199,1,161,2.3e-75,292,385036,Myotis sodalis
6153406d7a5cbb16eeabbbd9d23443a2,KM382104.1,99.379,161,1,0,39,199,1,161,2.3e-75,292,385036,Myotis sodalis
6153406d7a5cbb16eeabbbd9d23443a2,KM382105.1,99.379,161,1,0,39,199,1,161,2.3e-75,292,385036,Myotis sodalis
6153406d7a5cbb16eeabbbd9d23443a2,KM382107.1,99.379,161,1,0,39,199,1,161,2.3e-75,292,385036,Myotis sodalis
6153406d7a5cbb16eeabbbd9d23443a2,KM382108.1,99.39,164,1,0,39,202,1,164,4.95e-77,298,385036,Myotis sodalis
6153406d7a5cbb16eeabbbd9d23443a2,KM382109.1,99.379,161,1,0,39,199,1,161,2.3e-75,292,385036,Myotis sodalis
6153406d7a5cbb16eeabbbd9d23443a2,KM382110.1,99.379,161,1,0,39,199,1,161,2.3e-75,292,385036,Myotis sodalis
6153406d7a5cbb16eeabbbd9d23443a2,KM382113.1,99.39,164,1,0,39,202,1,164,4.95e-77,298,385036,Myotis sodalis
6153406d7a5cbb16eeabbbd9d23443a2,KM382116.1,98.758,161,2,0,39,199,1,161,1.07e-73,287,385036,Myotis sodalis
647dc74ee8f3f05e1781bedbbbc4ec0d,GU723229.1,99.441,179,1,0,17,195,1,179,2.27e-85,326,385036,Myotis sodalis
647dc74ee8f3f05e1781bedbbbc4ec0d,GU723230.1,99.441,179,1,0,17,195,1,179,2.27e-85,326,385036,Myotis sodalis
647dc74ee8f3f05e1781bedbbbc4ec0d,KM382104.1,99.441,179,1,0,17,195,1,179,2.27e-85,326,385036,Myotis sodalis
647dc74ee8f3f05e1781bedbbbc4ec0d,KM382105.1,99.441,179,1,0,17,195,1,179,2.27e-85,326,385036,Myotis sodalis
647dc74ee8f3f05e1781bedbbbc4ec0d,KM382107.1,99.441,179,1,0,17,195,1,179,2.27e-85,326,385036,Myotis sodalis
647dc74ee8f3f05e1781bedbbbc4ec0d,KM382109.1,99.441,179,1,0,17,195,1,179,2.27e-85,326,385036,Myotis sodalis
647dc74ee8f3f05e1781bedbbbc4ec0d,KM382110.1,99.441,179,1,0,17,195,1,179,2.27e-85,326,385036,Myotis sodalis
647dc74ee8f3f05e1781bedbbbc4ec0d,KM382114.1,98.883,179,2,0,17,195,1,179,1.06e-83,320,385036,Myotis sodalis
647dc74ee8f3f05e1781bedbbbc4ec0d,KM382115.1,98.883,179,2,0,17,195,1,179,1.06e-83,320,385036,Myotis sodalis
647dc74ee8f3f05e1781bedbbbc4ec0d,KM382116.1,98.883,179,2,0,17,195,1,179,1.06e-83,320,385036,Myotis sodalis
65c463636dc6299ab1bdac5e5bbaa1b4,GU723229.1,100,165,0,0,40,204,1,165,2.96e-79,305,385036,Myotis sodalis
65c463636dc6299ab1bdac5e5bbaa1b4,GU723230.1,100,165,0,0,40,204,1,165,2.96e-79,305,385036,Myotis sodalis
65c463636dc6299ab1bdac5e5bbaa1b4,KM382104.1,100,165,0,0,40,204,1,165,2.96e-79,305,385036,Myotis sodalis
65c463636dc6299ab1bdac5e5bbaa1b4,KM382105.1,100,165,0,0,40,204,1,165,2.96e-79,305,385036,Myotis sodalis
65c463636dc6299ab1bdac5e5bbaa1b4,KM382107.1,100,165,0,0,40,204,1,165,2.96e-79,305,385036,Myotis sodalis
65c463636dc6299ab1bdac5e5bbaa1b4,KM382109.1,100,165,0,0,40,204,1,165,2.96e-79,305,385036,Myotis sodalis
65c463636dc6299ab1bdac5e5bbaa1b4,KM382110.1,100,165,0,0,40,204,1,165,2.96e-79,305,385036,Myotis sodalis
65c463636dc6299ab1bdac5e5bbaa1b4,KM382114.1,99.394,165,1,0,40,204,1,165,1.38e-77,300,385036,Myotis sodalis
65c463636dc6299ab1bdac5e5bbaa1b4,KM382115.1,99.394,165,1,0,40,204,1,165,1.38e-77,300,385036,Myotis sodalis
65c463636dc6299ab1bdac5e5bbaa1b4,KM382116.1,99.394,165,1,0,40,204,1,165,1.38e-77,300,385036,Myotis sodalis
697bd385221d38687480e6982b2c8c94,GU723231.1,100,165,0,0,39,203,1,165,2.96e-79,305,385036,Myotis sodalis
697bd385221d38687480e6982b2c8c94,KM382104.1,99.394,165,1,0,39,203,1,165,1.38e-77,300,385036,Myotis sodalis
697bd385221d38687480e6982b2c8c94,KM382105.1,99.394,165,1,0,39,203,1,165,1.38e-77,300,385036,Myotis sodalis
697bd385221d38687480e6982b2c8c94,KM382106.1,100,165,0,0,39,203,1,165,2.96e-79,305,385036,Myotis sodalis
697bd385221d38687480e6982b2c8c94,KM382107.1,99.394,165,1,0,39,203,1,165,1.38e-77,300,385036,Myotis sodalis
697bd385221d38687480e6982b2c8c94,KM382109.1,99.394,165,1,0,39,203,1,165,1.38e-77,300,385036,Myotis sodalis
697bd385221d38687480e6982b2c8c94,KM382110.1,99.394,165,1,0,39,203,1,165,1.38e-77,300,385036,Myotis sodalis
697bd385221d38687480e6982b2c8c94,KM382112.1,100,165,0,0,39,203,1,165,2.96e-79,305,385036,Myotis sodalis
697bd385221d38687480e6982b2c8c94,KM382114.1,100,165,0,0,39,203,1,165,2.96e-79,305,385036,Myotis sodalis
697bd385221d38687480e6982b2c8c94,KM382115.1,100,165,0,0,39,203,1,165,2.96e-79,305,385036,Myotis sodalis
6c98235524aa3ac6a58e56b293baaf89,GU723229.1,99.441,179,1,0,40,218,1,179,2.27e-85,326,385036,Myotis sodalis
6c98235524aa3ac6a58e56b293baaf89,GU723230.1,99.441,179,1,0,40,218,1,179,2.27e-85,326,385036,Myotis sodalis
6c98235524aa3ac6a58e56b293baaf89,KM382104.1,99.441,179,1,0,40,218,1,179,2.27e-85,326,385036,Myotis sodalis
6c98235524aa3ac6a58e56b293baaf89,KM382105.1,99.441,179,1,0,40,218,1,179,2.27e-85,326,385036,Myotis sodalis
6c98235524aa3ac6a58e56b293baaf89,KM382107.1,99.441,179,1,0,40,218,1,179,2.27e-85,326,385036,Myotis sodalis
6c98235524aa3ac6a58e56b293baaf89,KM382109.1,99.441,179,1,0,40,218,1,179,2.27e-85,326,385036,Myotis sodalis
6c98235524aa3ac6a58e56b293baaf89,KM382110.1,99.441,179,1,0,40,218,1,179,2.27e-85,326,385036,Myotis sodalis
6c98235524aa3ac6a58e56b293baaf89,KM382114.1,98.883,179,2,0,40,218,1,179,1.06e-83,320,385036,Myotis sodalis
6c98235524aa3ac6a58e56b293baaf89,KM382115.1,98.883,179,2,0,40,218,1,179,1.06e-83,320,385036,Myotis sodalis
6c98235524aa3ac6a58e56b293baaf89,KM382116.1,98.883,179,2,0,40,218,1,179,1.06e-83,320,385036,Myotis sodalis
75c0786c4808439577643287a12a7b69,GU723163.1,98.485,198,2,1,1,197,1,198,4.85e-92,348,27670,Nycticeius humeralis
75c0786c4808439577643287a12a7b69,GU723164.1,97.98,198,3,1,1,197,1,198,2.26e-90,342,27670,Nycticeius humeralis
