BioProject accession	BioSample accession	Library ID	Title	Library strategy	Library source	Library selection	Library layout	Platform	Instrument model	Design description	Filetype	Filename	filename2	SPUID	Organism	Tax ID
PRJNA548356	SAMN12025221	6212017EGB6	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	6212017EGB6_L001_R1_001.fastq.gz	6212017EGB6_L001_R2_001.fastq.gz	6212017EGB6	feces metagenome	1861841
PRJNA548356	SAMN12025222	6212017EGB7	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	6212017EGB7_L001_R1_001.fastq.gz	6212017EGB7_L001_R2_001.fastq.gz	6212017EGB7	feces metagenome	1861841
PRJNA548356	SAMN12025223	6212017EGB8	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	6212017EGB8_L001_R1_001.fastq.gz	6212017EGB8_L001_R2_001.fastq.gz	6212017EGB8	feces metagenome	1861841
PRJNA548356	SAMN12025224	6212017EGB9	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	6212017EGB9_L001_R1_001.fastq.gz	6212017EGB9_L001_R2_001.fastq.gz	6212017EGB9	feces metagenome	1861841
PRJNA548356	SAMN12025225	6212017EGC1	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	6212017EGC1_L001_R1_001.fastq.gz	6212017EGC1_L001_R2_001.fastq.gz	6212017EGC1	feces metagenome	1861841
PRJNA548356	SAMN12025226	6212017EGC10	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	6212017EGC10_L001_R1_001.fastq.gz	6212017EGC10_L001_R2_001.fastq.gz	6212017EGC10	feces metagenome	1861841
PRJNA548356	SAMN12025227	6212017EGC2	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	6212017EGC2_L001_R1_001.fastq.gz	6212017EGC2_L001_R2_001.fastq.gz	6212017EGC2	feces metagenome	1861841
PRJNA548356	SAMN12025228	6212017EGC3	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	6212017EGC3_L001_R1_001.fastq.gz	6212017EGC3_L001_R2_001.fastq.gz	6212017EGC3	feces metagenome	1861841
PRJNA548356	SAMN12025229	6212017EGC4	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	6212017EGC4_L001_R1_001.fastq.gz	6212017EGC4_L001_R2_001.fastq.gz	6212017EGC4	feces metagenome	1861841
PRJNA548356	SAMN12025230	6212017EGC5	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	6212017EGC5_L001_R1_001.fastq.gz	6212017EGC5_L001_R2_001.fastq.gz	6212017EGC5	feces metagenome	1861841
PRJNA548356	SAMN12025231	6212017EGC6	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	6212017EGC6_L001_R1_001.fastq.gz	6212017EGC6_L001_R2_001.fastq.gz	6212017EGC6	feces metagenome	1861841
PRJNA548356	SAMN12025232	6212017EGC7	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	6212017EGC7_L001_R1_001.fastq.gz	6212017EGC7_L001_R2_001.fastq.gz	6212017EGC7	feces metagenome	1861841
PRJNA548356	SAMN12025233	6212017EGC8	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	6212017EGC8_L001_R1_001.fastq.gz	6212017EGC8_L001_R2_001.fastq.gz	6212017EGC8	feces metagenome	1861841
PRJNA548356	SAMN12025234	6212017EGC9	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	6212017EGC9_L001_R1_001.fastq.gz	6212017EGC9_L001_R2_001.fastq.gz	6212017EGC9	feces metagenome	1861841
PRJNA548356	SAMN12025235	6212017EgnerPoolC1	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	6212017EgnerPoolC1_L001_R1_001.fastq.gz	6212017EgnerPoolC1_L001_R2_001.fastq.gz	6212017EgnerPoolC1	feces metagenome	1861841
PRJNA548356	SAMN12025236	6212017EgnerPoolC2	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	6212017EgnerPoolC2_L001_R1_001.fastq.gz	6212017EgnerPoolC2_L001_R2_001.fastq.gz	6212017EgnerPoolC2	feces metagenome	1861841
PRJNA548356	SAMN12025237	6212017EgnerPoolC3	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	6212017EgnerPoolC3_L001_R1_001.fastq.gz	6212017EgnerPoolC3_L001_R2_001.fastq.gz	6212017EgnerPoolC3	feces metagenome	1861841
PRJNA548356	SAMN12025238	6212017EgnerPoolC4	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	6212017EgnerPoolC4_L001_R1_001.fastq.gz	6212017EgnerPoolC4_L001_R2_001.fastq.gz	6212017EgnerPoolC4	feces metagenome	1861841
PRJNA548356	SAMN12025239	6212017EGD1	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	6212017EGD1_L001_R1_001.fastq.gz	6212017EGD1_L001_R2_001.fastq.gz	6212017EGD1	feces metagenome	1861841
PRJNA548356	SAMN12025240	6212017EGD10	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	6212017EGD10_L001_R1_001.fastq.gz	6212017EGD10_L001_R2_001.fastq.gz	6212017EGD10	feces metagenome	1861841
PRJNA548356	SAMN12025241	6212017EGD2	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	6212017EGD2_L001_R1_001.fastq.gz	6212017EGD2_L001_R2_001.fastq.gz	6212017EGD2	feces metagenome	1861841
PRJNA548356	SAMN12025242	6212017EGD3	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	6212017EGD3_L001_R1_001.fastq.gz	6212017EGD3_L001_R2_001.fastq.gz	6212017EGD3	feces metagenome	1861841
PRJNA548356	SAMN12025243	6212017EGD4	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	6212017EGD4_L001_R1_001.fastq.gz	6212017EGD4_L001_R2_001.fastq.gz	6212017EGD4	feces metagenome	1861841
PRJNA548356	SAMN12025244	6212017EGD5	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	6212017EGD5_L001_R1_001.fastq.gz	6212017EGD5_L001_R2_001.fastq.gz	6212017EGD5	feces metagenome	1861841
PRJNA548356	SAMN12025245	6212017EGD6	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	6212017EGD6_L001_R1_001.fastq.gz	6212017EGD6_L001_R2_001.fastq.gz	6212017EGD6	feces metagenome	1861841
PRJNA548356	SAMN12025246	6212017EGD7	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	6212017EGD7_L001_R1_001.fastq.gz	6212017EGD7_L001_R2_001.fastq.gz	6212017EGD7	feces metagenome	1861841
PRJNA548356	SAMN12025247	6212017EGD8	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	6212017EGD8_L001_R1_001.fastq.gz	6212017EGD8_L001_R2_001.fastq.gz	6212017EGD8	feces metagenome	1861841
PRJNA548356	SAMN12025248	6212017EGD9	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	6212017EGD9_L001_R1_001.fastq.gz	6212017EGD9_L001_R2_001.fastq.gz	6212017EGD9	feces metagenome	1861841
PRJNA548356	SAMN12025249	6212017EgnerPoolD1	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	6212017EgnerPoolD1_L001_R1_001.fastq.gz	6212017EgnerPoolD1_L001_R2_001.fastq.gz	6212017EgnerPoolD1	feces metagenome	1861841
PRJNA548356	SAMN12025250	6212017EgnerPoolD2	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	6212017EgnerPoolD2_L001_R1_001.fastq.gz	6212017EgnerPoolD2_L001_R2_001.fastq.gz	6212017EgnerPoolD2	feces metagenome	1861841
PRJNA548356	SAMN12025251	6212017EgnerPoolD3	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	6212017EgnerPoolD3_L001_R1_001.fastq.gz	6212017EgnerPoolD3_L001_R2_001.fastq.gz	6212017EgnerPoolD3	feces metagenome	1861841
PRJNA548356	SAMN12025252	6212017EgnerPoolD4	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	6212017EgnerPoolD4_L001_R1_001.fastq.gz	6212017EgnerPoolD4_L001_R2_001.fastq.gz	6212017EgnerPoolD4	feces metagenome	1861841
PRJNA548356	SAMN12025253	6212017HBA1	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	6212017HBA1_L001_R1_001.fastq.gz	6212017HBA1_L001_R2_001.fastq.gz	6212017HBA1	feces metagenome	1861841
PRJNA548356	SAMN12025254	6212017HBA10	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	6212017HBA10_L001_R1_001.fastq.gz	6212017HBA10_L001_R2_001.fastq.gz	6212017HBA10	feces metagenome	1861841
PRJNA548356	SAMN12025255	6212017HBA2	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	6212017HBA2_L001_R1_001.fastq.gz	6212017HBA2_L001_R2_001.fastq.gz	6212017HBA2	feces metagenome	1861841
PRJNA548356	SAMN12025256	6212017HBA3	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	6212017HBA3_L001_R1_001.fastq.gz	6212017HBA3_L001_R2_001.fastq.gz	6212017HBA3	feces metagenome	1861841
PRJNA548356	SAMN12025257	6212017HBA4	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	6212017HBA4_L001_R1_001.fastq.gz	6212017HBA4_L001_R2_001.fastq.gz	6212017HBA4	feces metagenome	1861841
PRJNA548356	SAMN12025258	6212017HBA5	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	6212017HBA5_L001_R1_001.fastq.gz	6212017HBA5_L001_R2_001.fastq.gz	6212017HBA5	feces metagenome	1861841
PRJNA548356	SAMN12025259	6212017HBA6	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	6212017HBA6_L001_R1_001.fastq.gz	6212017HBA6_L001_R2_001.fastq.gz	6212017HBA6	feces metagenome	1861841
PRJNA548356	SAMN12025260	6212017HBA7	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	6212017HBA7_L001_R1_001.fastq.gz	6212017HBA7_L001_R2_001.fastq.gz	6212017HBA7	feces metagenome	1861841
PRJNA548356	SAMN12025261	6212017HBA8	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	6212017HBA8_L001_R1_001.fastq.gz	6212017HBA8_L001_R2_001.fastq.gz	6212017HBA8	feces metagenome	1861841
PRJNA548356	SAMN12025262	6212017HBA9	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	6212017HBA9_L001_R1_001.fastq.gz	6212017HBA9_L001_R2_001.fastq.gz	6212017HBA9	feces metagenome	1861841
PRJNA548356	SAMN12025263	6212017HBPoolA1	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	6212017HBPoolA1_L001_R1_001.fastq.gz	6212017HBPoolA1_L001_R2_001.fastq.gz	6212017HBPoolA1	feces metagenome	1861841
PRJNA548356	SAMN12025264	6212017HBPoolA2	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	6212017HBPoolA2_L001_R1_001.fastq.gz	6212017HBPoolA2_L001_R2_001.fastq.gz	6212017HBPoolA2	feces metagenome	1861841
PRJNA548356	SAMN12025265	6212017HBPoolA3	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	6212017HBPoolA3_L001_R1_001.fastq.gz	6212017HBPoolA3_L001_R2_001.fastq.gz	6212017HBPoolA3	feces metagenome	1861841
PRJNA548356	SAMN12025266	6212017HBPoolA4	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	6212017HBPoolA4_L001_R1_001.fastq.gz	6212017HBPoolA4_L001_R2_001.fastq.gz	6212017HBPoolA4	feces metagenome	1861841
PRJNA548356	SAMN12025267	6212017HBB1	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	6212017HBB1_L001_R1_001.fastq.gz	6212017HBB1_L001_R2_001.fastq.gz	6212017HBB1	feces metagenome	1861841
PRJNA548356	SAMN12025268	6212017HBB10	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	6212017HBB10_L001_R1_001.fastq.gz	6212017HBB10_L001_R2_001.fastq.gz	6212017HBB10	feces metagenome	1861841
PRJNA548356	SAMN12025269	6212017HBB2	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	6212017HBB2_L001_R1_001.fastq.gz	6212017HBB2_L001_R2_001.fastq.gz	6212017HBB2	feces metagenome	1861841
PRJNA548356	SAMN12025270	6212017HBB3	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	6212017HBB3_L001_R1_001.fastq.gz	6212017HBB3_L001_R2_001.fastq.gz	6212017HBB3	feces metagenome	1861841
PRJNA548356	SAMN12025271	6212017HBB4	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	6212017HBB4_L001_R1_001.fastq.gz	6212017HBB4_L001_R2_001.fastq.gz	6212017HBB4	feces metagenome	1861841
PRJNA548356	SAMN12025272	6212017HBB5	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	6212017HBB5_L001_R1_001.fastq.gz	6212017HBB5_L001_R2_001.fastq.gz	6212017HBB5	feces metagenome	1861841
PRJNA548356	SAMN12025273	6212017HBB6	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	6212017HBB6_L001_R1_001.fastq.gz	6212017HBB6_L001_R2_001.fastq.gz	6212017HBB6	feces metagenome	1861841
PRJNA548356	SAMN12025274	6212017HBB7	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	6212017HBB7_L001_R1_001.fastq.gz	6212017HBB7_L001_R2_001.fastq.gz	6212017HBB7	feces metagenome	1861841
PRJNA548356	SAMN12025275	6212017HBB8	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	6212017HBB8_L001_R1_001.fastq.gz	6212017HBB8_L001_R2_001.fastq.gz	6212017HBB8	feces metagenome	1861841
PRJNA548356	SAMN12025276	6212017HBB9	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	6212017HBB9_L001_R1_001.fastq.gz	6212017HBB9_L001_R2_001.fastq.gz	6212017HBB9	feces metagenome	1861841
PRJNA548356	SAMN12025277	6212017HBPoolB1	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	6212017HBPoolB1_L001_R1_001.fastq.gz	6212017HBPoolB1_L001_R2_001.fastq.gz	6212017HBPoolB1	feces metagenome	1861841
PRJNA548356	SAMN12025278	6212017HBPoolB2	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	6212017HBPoolB2_L001_R1_001.fastq.gz	6212017HBPoolB2_L001_R2_001.fastq.gz	6212017HBPoolB2	feces metagenome	1861841
PRJNA548356	SAMN12025279	6212017HBPoolB3	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	6212017HBPoolB3_L001_R1_001.fastq.gz	6212017HBPoolB3_L001_R2_001.fastq.gz	6212017HBPoolB3	feces metagenome	1861841
PRJNA548356	SAMN12025280	6212017HBPoolB4	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	6212017HBPoolB4_L001_R1_001.fastq.gz	6212017HBPoolB4_L001_R2_001.fastq.gz	6212017HBPoolB4	feces metagenome	1861841
PRJNA548356	SAMN12025281	6212017HBC1	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	6212017HBC1_L001_R1_001.fastq.gz	6212017HBC1_L001_R2_001.fastq.gz	6212017HBC1	feces metagenome	1861841
PRJNA548356	SAMN12025282	6212017HBC10	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	6212017HBC10_L001_R1_001.fastq.gz	6212017HBC10_L001_R2_001.fastq.gz	6212017HBC10	feces metagenome	1861841
PRJNA548356	SAMN12025283	6212017HBC2	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	6212017HBC2_L001_R1_001.fastq.gz	6212017HBC2_L001_R2_001.fastq.gz	6212017HBC2	feces metagenome	1861841
PRJNA548356	SAMN12025284	6212017HBC3	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	6212017HBC3_L001_R1_001.fastq.gz	6212017HBC3_L001_R2_001.fastq.gz	6212017HBC3	feces metagenome	1861841
PRJNA548356	SAMN12025285	6212017HBC4	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	6212017HBC4_L001_R1_001.fastq.gz	6212017HBC4_L001_R2_001.fastq.gz	6212017HBC4	feces metagenome	1861841
